HEARING	SPEAKER	MAIN SPEAKER	ROLE	TEXT
2019-11-20	Adam Schiff	D-Schiff	Democrat	In the coming weeks, Ambassador Sondland got more clearly involved in Ukraine policymaking. Starting with the June 4 US mission to the EU Independence Day event in Brussels, one month early. Secretary Perry, Ulrich Brechbuhl and the State Department Counselor, and Sondland met with President Zelensky, whom Sondland had invited personally on the margins of the event.
2019-11-20	Adam Schiff	D-Schiff	Democrat	On June 10, 2019, Secretary Perry organized a conference call with Sondland, then National Security Advisor, John Bolton, Volker and others. They reviewed Ukraine strategy with Bolton and decided that Perry, Sondland and Volker would assist Ambassador Bill Taylor, the new acting ambassador in Kiev on Ukraine, and discuss Trump’s desire for Rudy Giuliani to be somehow involved. At the end of the call, according to Sondland, we all felt very comfortable with the strategy moving forward.
2019-11-20	Adam Schiff	D-Schiff	Democrat	Two weeks later, on June 27th, Ambassador Sondland called Taylor to say that, “Zelensky needed to make clear to President Trump that he was not standing in the way of investigations.” On July 10th, Ambassador Sondland and other US officials met at the White House with a group of US and Ukrainian officials. Participants in the meeting have told us that Ambassador Sondland invoked acting White House Chief of Staff, Mick Mulvaney, and said that the White House meeting sought by the Ukrainian President with Trump would happen only if Ukraine undertook certain investigations. National Security Advisor, Bolton, abruptly ended the meeting upon hearing this.
2019-11-20	Adam Schiff	D-Schiff	Democrat	Undeterred, Sondland brought Ukrainian delegation downstairs to another part of the White House and was more explicit. According to witnesses, Ukraine needed to investigate the Bidens or Burisma in the 2016 election interference if they wanted to get a meeting at all.
2019-11-20	Adam Schiff	D-Schiff	Democrat	Following this meeting in July, Bolton said that he would not be part of whatever drug deal Sondland and Mulvaney are cooking up on this. Sondland continued to press for a meeting, but he and others were willing to settle for a phone call as an intermediate step.
2019-11-20	Adam Schiff	D-Schiff	Democrat	On July 21, Taylor texted Sondland that, “President Zelensky is sensitive about Ukraine being taken seriously, not merely as an instrument of Washington domestic reelection politics.” Sondland responded, “Absolutely, but we need to get the conversation started and the relationship built irrespective of the pretext, so that Zelensky and Trump could meet and all of this will be fixed.”
2019-11-20	Adam Schiff	D-Schiff	Democrat	On July 25th, the day of the Trump/Zelensky call, Volker had lunch in Kiev with a senior aid to Ukrainian President Zelensky, and later texted the aide to say that he’d heard from the White House, “Assuming President Z convinces Trump he will investigate, get to the bottom of what happened in 2016, we will nail down date for visit to Washington. Good luck.”
2019-11-20	Adam Schiff	D-Schiff	Democrat	Ambassador Sondland spoke to President Trump a few minutes before the call was placed, but was not on the call. During that now infamous phone call with Zelensky, Trump responded to the Ukrainian expression of appreciation for US defense support, and requests to buy more Javelin anti-tank missiles by saying, “I would like you to do us a favor, though.” Trump asked Zelensky to investigate the discredited 2016 conspiracy theory, and even more ominously, look into the Bidens.
2019-11-20	Adam Schiff	D-Schiff	Democrat	Neither had been part of the official preparatory material for the call, but they were in Donald Trump’s personal interest, and the interests of his reelection campaign. The Ukrainian President knew about both in advance. In part because of Ambassador Volker, and Ambassador Sondland’s efforts to make him aware of what the President was demanding.
2019-11-20	Adam Schiff	D-Schiff	Democrat	Around this time, Ambassador Sondland became aware of the suspension of security assistance to Ukraine, which had been announced on a secure inter-agency video conference on July 18th. Telling us that it was extremely odd that nobody involved in making and implementing policy towards Ukraine knew why the aid had been put on hold. During August, Sondland participated in conference calls, and text messages with Volker and Juliani and said that the gist of every call was what was going to go in the press statement.
2019-11-20	Adam Schiff	D-Schiff	Democrat	In August, nine text message with Volker/Sondland stated, “I think POTUS really wants the deliverable,” which was according to Sondland a deliverable public statement that President Trump wanted to see or hear before a White House meeting could happen.
2019-11-20	Adam Schiff	D-Schiff	Democrat	On September 1, Ambassador Sondland participated in Vice President Pence’s bilateral meeting was Zelensky in Warsaw, during which Zelensky raised the suspended security assistance. Following that meeting, Sondland approached the senior Ukrainian official to tell him that he believed what could help them move the aid was if the Ukrainian Prosecutor General would go to the mic and announced that he was opening the Burisma investigation.
2019-11-20	Adam Schiff	D-Schiff	Democrat	Sondland told Taylor that he had made a mistake by telling Ukrainians that an Oval Office Meeting was dependent on a public announcement of investigations. In fact, everything was dependent on such an announcement, including security assistance.
2019-11-20	Adam Schiff	D-Schiff	Democrat	Even the announcement by the Prosecutor General would not satisfy the President. On September 7, Sondland spoke to the President and told Tim Morrison and Bill Taylor about the call shortly thereafter. The President said that although this was not a quid pro quo, if President Zelensky did not clear things up in public we would be at a stalemate. Moreover, an announcement by the Prosecutor General would not be enough. President Zelensky must announce personally that he would open the investigations.
2019-11-20	Adam Schiff	D-Schiff	Democrat	Sondland Taylor that, “President Trump is a businessman. When a businessman is about to sign a check to someone who owes him something,” he said,”… the businessmen asks that person to pay up before signing the check.” The check referred to here was the US military assistance to Ukraine, and Ukraine had to pay up with investigations. Throughout early September, Volker and Sondland sought to close the deal on an agreement that Zelensky would announce investigations. After, Taylor texted Sondland on September 9, 2019 that, “I think it’s crazy to withhold security assistance for help with a political campaign.”
2019-11-20	Adam Schiff	D-Schiff	Democrat	"16 days later, the transcript of the July 25th call was made public, and the American people learn the truth of how our President tried to take advantage of a vulnerable ally. Now it is up to Congress, as the People’s representatives, to determine what response is appropriate. If the President abused his power and invited foreign interference in our elections. If he sought to condition, coerce, extort, or bribe an ally into conducting investigations to aid his reelection campaign, and did so by withholding official act; a White House meeting, or hundreds of millions of dollars of needed military aid, it will be up to us to decide whether those acts are compatible with the office of the Presidency."
2019-11-20	Adam Schiff	D-Schiff	Democrat	Finally, I want to say a word about the President and Secretary Pompeo’s obstruction of this investigation. We have not received a single document from the State Department. As Ambassador Sondland’s opening statement today will make clear, those documents bear directly on this investigation and this impeachment inquiry. I think we know now, based on a sample of the documents attached to Ambassador Sondland’s statement, that the knowledge of this scheme was far and wide, and included among others Secretary of State Pompeo, as well as the Vice President.
2019-11-20	Adam Schiff	D-Schiff	Democrat	We can see why Secretary Pompeo, and President Trump have made such a concerted, and across-the-board effort to obstruct this investigation and this impeachment inquiry. I will just say this. They do so at their own peril. I remind the President that Article Three of the Impeachment Articles drafted against President Nixon was his refusal to obey the subpoenas of Congress. With that, I recognize ranking member Nunes for any remarks that he would wish to make.
2019-11-20	Adam Schiff	D-Schiff	Democrat	I thank the gentleman. We are joined this afternoon by Ambassador Gordon Sondland. I’m sorry, this morning. It was a long day yesterday. Gordon Sondland is the US Representative to the European Union with the rank of Ambassador. Before joining the State Department, Ambassador Sondland was the founder and CEO of Providence Hotels, a national owner and operator of full service hotels. Also prior to his government service, Ambassador Sondland was engaged in charitable enterprises.
2019-11-20	Adam Schiff	D-Schiff	Democrat	Two final points before witness is sworn. First, witness depositions as part of this inquiry were unclassified in nature, and all open hearings will also be held at the unclassified level. Any information that may touch on classified information will be addressed separately. Second, Congress will not tolerate any reprisal, threat of reprisal, or attempt to retaliate against any US government official for testifying before Congress, including you or any of your colleagues. If you would please rise and raise your right hand, I will begin by swearing you in.  Questioning
2019-11-20	Adam Schiff	D-Schiff	Democrat	We will now proceed the first round of questions as detailed in the memo provided to committee members. There’ll be 45 minutes of questions conducted by the chairman and majority counsel followed by 45 minutes for the ranking member or minority counsel. Following that, unless I specify additional equal time for extended questioning, we will proceed under the five minute rule and every member will have the chance to ask questions. I recognize myself or majority counsel for the first round of questions. Ambassador Sondland, there’s a lot of new material in your opening statement for us to get through, but I want to start with a few top line questions before passing it over to Mr. Goldman. In your deposition, you testified that you found yourself on a continuum that became more insidious over time. Can you describe what you mean by this continuum of insidiousness?
2019-11-20	Adam Schiff	D-Schiff	Democrat	And then of course, on July 25th, although you were not privy to the call and other condition was added, that being the investigation of the Bidens.
2019-11-20	Adam Schiff	D-Schiff	Democrat	You saw that in the call record, correct?
2019-11-20	Adam Schiff	D-Schiff	Democrat	But when you did receive-
2019-11-20	Adam Schiff	D-Schiff	Democrat	So on this continuum, the beginning of the continuum begins on May 23rd when the President instructs you to talk to Rudy?
2019-11-20	Adam Schiff	D-Schiff	Democrat	And you understood that as a direction by the President that you needed to satisfy the concerns that Rudy Giuliani would express to you about what the President wanted in Ukraine?
2019-11-20	Adam Schiff	D-Schiff	Democrat	Now in your opening statement, you confirm that there was a quid pro quo between the White House meeting and the investigations into Burisma and the 2016 election that Giuliani was publicly promoting, is that right?
2019-11-20	Adam Schiff	D-Schiff	Democrat	And in fact, you say that other senior officials in the State Department and the chief of staff’s office, including Mick Mulvaney, Secretary Pompeo, were aware of this quid pro quo, that in order to get the White House Meeting that we’re going to have to be these investigations the President wanted.
2019-11-20	Adam Schiff	D-Schiff	Democrat	And those again, are investigations into 2016 and Burisma slash the Bidens?
2019-11-20	Adam Schiff	D-Schiff	Democrat	But you would ultimately learn that Burisma meant the Bidens when you saw the call record, correct?
2019-11-20	Adam Schiff	D-Schiff	Democrat	And then on July 26th you confirm you did indeed have the conversation with president Trump from a restaurant in Kiev that David Holmes testified about last week, is that right?
2019-11-20	Adam Schiff	D-Schiff	Democrat	And you have no reason to doubt Mr. Holmes recounting of your conversation with the President?
2019-11-20	Adam Schiff	D-Schiff	Democrat	You have no reason to believe that Mr. Holmes would make that up if that’s what he recalls you saying? You have no reason to question that, do you?
2019-11-20	Adam Schiff	D-Schiff	Democrat	But the rest of Mr. Holmes recollection is consistent with your own?
2019-11-20	Adam Schiff	D-Schiff	Democrat	Are you familiar with his testimony?
2019-11-20	Adam Schiff	D-Schiff	Democrat	And the only exception you take as to the mention of the name Biden?
2019-11-20	Adam Schiff	D-Schiff	Democrat	And I think you said in your testimony this morning that not only is it correct that the President brought up with you investigations on the phone the day after the July 25th call, but you would have been surprised had he not brought that up, is that right?
2019-11-20	Adam Schiff	D-Schiff	Democrat	Mr. Holmes also testified that you told him, “President Trump doesn’t care about Ukraine. He only cares about big stuff that relates to him personally.” I take it from your comment you don’t dispute that part of the conversation.
2019-11-20	Adam Schiff	D-Schiff	Democrat	So you don’t dispute that part of Mr. Holmes’ recollection?
2019-11-20	Adam Schiff	D-Schiff	Democrat	In August when you worked with Rudy Giuliani and a top Ukrainian aid to draft a public statement for President Zelensky to issue that includes the announcement investigations into Burisma. You understood that was required by President Trump before he would grant the White House meeting to President Zelensky?
2019-11-20	Adam Schiff	D-Schiff	Democrat	And the Ukrainians understood that as well?
2019-11-20	Adam Schiff	D-Schiff	Democrat	And you informed Secretary Pompeo about that statement as well?
2019-11-20	Adam Schiff	D-Schiff	Democrat	Later in August, you told Secretary Pompeo that President Zelensky would be prepared to tell President Trump that his new justice officials would be able to announce matters of interest to the President, which could break the log jam. When you say matters of interest to the President, you mean the investigations that President Trump wanted, is that right?
2019-11-20	Adam Schiff	D-Schiff	Democrat	And that involved 2016 and Burisma or the Bidens?
2019-11-20	Adam Schiff	D-Schiff	Democrat	And when you’re talking here about breaking the logjam, you’re talking about the logjam over the security assistance, correct?
2019-11-20	Adam Schiff	D-Schiff	Democrat	But that included the security assistance, did it not?
2019-11-20	Adam Schiff	D-Schiff	Democrat	And based on the context of that email, this was not the first time you had discussed his investigations with Secretary Pompeo was it?
2019-11-20	Adam Schiff	D-Schiff	Democrat	He was aware of the connections that you were making between the investigations and the White House meeting and security assistance?
2019-11-20	Adam Schiff	D-Schiff	Democrat	Did he ever take issue with you and say, “No, that connection is not there or you’re wrong?”
2019-11-20	Adam Schiff	D-Schiff	Democrat	Now you mentioned that you also had a conversation with Vice President Pence before his meeting with President Zelensky in Warsaw and that you raised the concern you had as well, that the security assistance was being withheld because of the President’s desire to get a commitment from Zelensky to pursue these political investigations. What did you say to the Vice President?
2019-11-20	Adam Schiff	D-Schiff	Democrat	And you understood that the Ukrainians were going to raise the security assistance with the Vice President at this meeting?
2019-11-20	Adam Schiff	D-Schiff	Democrat	Well, it was public by that point that there was a hold on the security assistance, correct?
2019-11-20	Adam Schiff	D-Schiff	Democrat	Well, you knew certainly they were concerned about the hold on the security assistance, right?
2019-11-20	Adam Schiff	D-Schiff	Democrat	And you wanted to help prepare the Vice President for the meeting by letting him know what you thought was responsible for the hold on the security assistance.
2019-11-20	Adam Schiff	D-Schiff	Democrat	Do you recall anything else the Vice President said other than nodding his head when you made him aware of this fact?
2019-11-20	Adam Schiff	D-Schiff	Democrat	And it was immediately after this meeting between the Vice President and Zelensky that you went to speak with Yermak and you told him similarly that in order to release the military assistance they were going to have to publicly announce these investigations?
2019-11-20	Adam Schiff	D-Schiff	Democrat	Well, in that short conversation, as you would later relay to Mr. Morrison and Ambassador Taylor, you informed Mr. Yermak that they would need to announce these investigations in order to get the aid, did you not?
2019-11-20	Adam Schiff	D-Schiff	Democrat	And you confirmed for him that he needed to get it done if they were going to get the military aid.
2019-11-20	Adam Schiff	D-Schiff	Democrat	Mr. Morrison and Ambassador Taylor have also relayed a conversation you had with the President following the Warsaw meeting, in which the President relayed to you that there was no quid pro quo but nevertheless, unless Zelensky went to the mic and announced these investigations, they would be a stalemate over the aide, is that correct?
2019-11-20	Adam Schiff	D-Schiff	Democrat	And that was an accurate reflection of your discussion with the President?
2019-11-20	Adam Schiff	D-Schiff	Democrat	I’m not asking you about your text message. I’m asking about your conversations with Mr. Morrison and Ambassador Taylor after you spoke with the President, either in that call or in a different call.
2019-11-20	Adam Schiff	D-Schiff	Democrat	Well, Mr. Morrison testified that you relayed a conversation you had with the President, in which the president told you no quid pro quo, but President Zelensky must go to a microphone and announce these investigations and that he should want to. Similarly, you told Ambassador Taylor that while the President said no quid pro quo, unless Zelensky announced these investigations, they would be at a stalemate. Presumably a stalemate over the military assistance. Do you have any reason to question those conversations that Mr. Morrison and Ambassador Taylor took notes about?
2019-11-20	Adam Schiff	D-Schiff	Democrat	Again, Ambassador, I’m not asking about your text message. I’m asking you about what you relayed to Ambassador Taylor and Mr. Morrison about your conversation with the President. Do you have any reason to question their recollection of what you told them?
2019-11-20	Adam Schiff	D-Schiff	Democrat	You don’t recall?
2019-11-20	Adam Schiff	D-Schiff	Democrat	You have no reason to question Ambassador Taylor or Mr. Morrison of what they wrote in their notes about your conversation with them.
2019-11-20	Adam Schiff	D-Schiff	Democrat	I’ll have Mr. Goldman go through that with you.
2019-11-20	Adam Schiff	D-Schiff	Democrat	But let me get to the the top line here, Ambassador Sondland.
2019-11-20	Adam Schiff	D-Schiff	Democrat	You’ve testified that the White House meeting that President Zelensky desperately wanted and that was very important to President Zelensky, was it not?
2019-11-20	Adam Schiff	D-Schiff	Democrat	You’ve testified that that meeting was conditioned was a quid pro quo for what the President wanted, these two investigations, isn’t that right?
2019-11-20	Adam Schiff	D-Schiff	Democrat	And that everybody knew it.
2019-11-20	Adam Schiff	D-Schiff	Democrat	Now that White House meeting was going to be an official meeting between the two presidents, correct?
2019-11-20	Adam Schiff	D-Schiff	Democrat	It would be an Oval Office meeting, hopefully.
2019-11-20	Adam Schiff	D-Schiff	Democrat	A working meeting, so an official act, correct?
2019-11-20	Adam Schiff	D-Schiff	Democrat	And in order to perform that official act, Donald Trump, wanted these two investigations that would help his re-election campaign, correct?
2019-11-20	Adam Schiff	D-Schiff	Democrat	But he had to get those two investigations if that official act was going to take place, correct?
2019-11-20	Adam Schiff	D-Schiff	Democrat	Okay, President Zelensky had to announce the two investigations the President wanted, make a public announcement, correct?
2019-11-20	Adam Schiff	D-Schiff	Democrat	And those were of great value to the President, he was quite insistent upon them and his attorney was insistent upon them?
2019-11-20	Adam Schiff	D-Schiff	Democrat	Well, and you said that Mr. Giuliani was acting at the President’s demand, correct?
2019-11-20	Adam Schiff	D-Schiff	Democrat	And so that official act of that meeting was being conditioned on the performance of these things the president wanted as expressed both directly and through his lawyer, Rudy Giuliani, correct?
2019-11-20	Adam Schiff	D-Schiff	Democrat	And you’ve also testified that your understanding, it became your clear understanding that the military assistance was also being withheld pending Zelensky announcing these investigations, correct?
2019-11-20	Adam Schiff	D-Schiff	Democrat	And in fact, you had a discussion, communication with the Secretary of State, which you said that logjam over aid could be lifted if Zelensky announced these investigations, right?
2019-11-20	Adam Schiff	D-Schiff	Democrat	That that’s what you meant, right Ambassador?
2019-11-20	Adam Schiff	D-Schiff	Democrat	Well, here’s what you said in your testimony a moment ago.
2019-11-20	Adam Schiff	D-Schiff	Democrat	Page 18, “But my goal at the time was to do what was necessary to get the aid released to break the logjam.” Okay, that’s still your testimony, right?
2019-11-20	Adam Schiff	D-Schiff	Democrat	So the military aid is also an official act, am I right?
2019-11-20	Adam Schiff	D-Schiff	Democrat	This is not President Trump’s personal bank account he’s writing a check from, this is $400 million of U.S. taxpayer money, is it not?
2019-11-20	Adam Schiff	D-Schiff	Democrat	And there was a logjam, in which the President would not write that U.S. check you believed until Ukraine announced these two investigations the President wanted, correct?
2019-11-20	Adam Schiff	D-Schiff	Democrat	Mr. Goldman.
2019-11-20	Adam Schiff	D-Schiff	Democrat	That concludes our 45 minutes. I now recognize Mr. Nunes. Oh, okay. Why don’t we take a five or 10 minute break.
2019-11-20	Adam Schiff	D-Schiff	Democrat	Time of the gentleman has expired. We’ll now move to a second staff led round of 30 minutes. Mr. Volker, I just have a few questions before I turn it back to Mr. Goldman. You testified in response to my colleagues in the minority something along the lines of, “A lot of people did not make the connection between Burisma and Biden.” I think a lot of people have real difficulty understanding that. Tim Morrison testified that I think it took him all of doing a Google search to find out, “Oh, this is the significance of Burisma. It involves the Bidens.” Are you saying during all this time, up until the call, you never made the connection between Burisma and the Bidens? You just thought that the president and Rudy Giuliani were interested in this one particular Ukrainian company?
2019-11-20	Adam Schiff	D-Schiff	Democrat	I understand that, but my question is, are you saying that for months and months and I was standing everything Rudy Giuliani was saying on TV and all the discussion with Rudy Giuliani that you never put Burisma together with the Bidens?
2019-11-20	Adam Schiff	D-Schiff	Democrat	Let me ask you this. Ambassador Volker testified yesterday to a similar epiphany, for lack of a better word. This is what he said, “In hindsight, I now understand that others saw the idea of investigating possible corruption involving the Ukrainian company Burisma as equivalent to investigating former Vice President Biden. I saw them as very different. The former being appropriate and unremarkable. The latter being unacceptable. In retrospect, I should have seen that connection differently and had I done so, I would have raised my own objections.” Does that sum up your views as well?
2019-11-20	Adam Schiff	D-Schiff	Democrat	Now I think you were asked a question with a bit of a incorrect premise by my colleagues in the minority about Fiona Hill saying that referring to a drug deal between you and Mr. Mulvaney was Ambassador Bolton who made the comment that he didn’t want to be part of any drug deal that Ambassador Sondland and Mulvaney were cooking up. No one thinks they’re talking about a literal drug deal here or a drug cocktail. The import I think of the ambassador’s comments is quite clear that he believed that this bargain, this quid pro quo, as you’ve described it over a meeting, the investigations to get the meeting was not something he wanted to be a part of.
2019-11-20	Adam Schiff	D-Schiff	Democrat	What I want to ask you about is he makes reference in that drug deal to a drug deal cooked up by you and Mulvaney. It’s the reference to Mulvaney that I want to ask you about. You’ve testified that Mulvaney was aware of this quid pro quo of this condition that the Ukrainians had to meet that is announcing these public investigations to get the White House meeting. Is that right?
2019-11-20	Adam Schiff	D-Schiff	Democrat	Including about including Mr. Mulvaney?
2019-11-20	Adam Schiff	D-Schiff	Democrat	And including the secretary of state?
2019-11-20	Adam Schiff	D-Schiff	Democrat	Now, have you seen the acting chief of staff’s press conference in which he acknowledged that the military aid was withheld in part because of a desire to get that 2016 investigation you’ve talked about?
2019-11-20	Adam Schiff	D-Schiff	Democrat	So you saw him acknowledged publicly what you have confirmed too that Mr. Mulvaney understood that two plus two equals four. Is that right?
2019-11-20	Adam Schiff	D-Schiff	Democrat	And he said yes it was.
2019-11-20	Adam Schiff	D-Schiff	Democrat	Mr. Goldman.
2019-11-21	Adam Schiff	D-Schiff	Democrat	Ask for your respect as we proceed with today?s hearing. It?s the intention of the committee to proceed without disruptions. As chairman, I?ll take all necessary and appropriate steps to maintain order and ensure that the committee is run in accordance with House rules and House Resolution 660. With that, I now recognize myself to give an opening statement in the impeachment inquiry into Donald J. Trump, the 45th president of the United States.
2019-11-21	Adam Schiff	D-Schiff	Democrat	Yesterday morning, the Committee heard from Ambassador Gordon Sondland, the American Ambassador to the European Union, the de facto leader of the three amigos, who had regular access to President Donald Trump and pressed the new Ukrainian president, Volodymyr Zelensky, for two investigations, Trump believed would help his reelection campaign. The first investigation was of a discredited conspiracy theory that Ukraine and not Russia was responsible for interfering in our 2016 election. The second investigation was into the political rival Trump apparently feared most, Joe Biden. Trump sought to weaken Biden, and to refute the fact that his own election had been helped by a Russian hacking and dumping operation and Russian social media campaign directed by Vladimir Putin.
2019-11-21	Adam Schiff	D-Schiff	Democrat	Trump?s scheme stood in contrast to the longstanding bipartisan foreign policy of the United States by undermining military and diplomatic support for a key ally, and set back US anti-corruption efforts in Ukraine. In conditioning a meeting with Zelensky and then military aid on securing an investigation of his rival, Trump put his personal and political interests above those of the United States. Ambassador Sondland would later tell career Foreign Service Officer, David Holmes, immediately after speaking to the president, Trump did not give a expletive about Ukraine. He cares about big stuff that benefits him, like the Biden investigation that Giuliani was pushing.
2019-11-21	Adam Schiff	D-Schiff	Democrat	David Holmes is here with us today. He is a Foreign Service Officer currently serving as the Political Counselor at the US Embassy in Kyiv. Also with us is Dr. Fiona Hill, whose job as the National Security Council?s Senior Director for European and Russian Affairs encompassed the coordination of US policy towards Ukraine. Dr. Hill left the NSC in July, after more than two years in that position. Dr. Hill and Mr. Holmes each provide a unique perspective on issues relating to Ukraine, Dr. Hill from Washington, DC, and Mr. Holmes from on the ground in Kyiv.
2019-11-21	Adam Schiff	D-Schiff	Democrat	In early 2019, Dr. Hill became concerned by the increasing prominence of Rudy Giuliani, the president?s personal lawyer, who was, as she has testified, asserting quite frequently on television in public appearances that he had been given some authority over matters related to Ukraine. Hill was not alone in her concerns. Her boss, National Security Advisor, John Bolton, was also paying attention, as were other NSC and State Department officials, including Holmes at the US Embassy in Kyiv. Bolton viewed Giuliani as a hand grenade that is going to blow everybody up, and was powerless to prevent the former mayor from engineering former US Ambassador to Ukraine, Marie Yovanovitch?s firing in late April or the recall. Holmes was stunned by the intensity and consistency of the media attacks on Yovanovitch, by name as a US Ambassador and the scope of the allegations that were leveled against her.
2019-11-21	Adam Schiff	D-Schiff	Democrat	Yovanovitch?s dismissal as a result of Giuliani?s smear campaign was one of several things that unsettled Dr. Hill. Another was the role of Gordon Sondland, who emerged as a key player in Ukraine policy in May when he was named as part of the US delegation led by Secretary, Rick Perry, to President Zelensky?s inauguration. Lieutenant Colonel Alexander Vindman, also attended the inauguration, and as Holmes recalls, during a meeting with President Zelensky, took the opportunity to advise the new Ukrainian leader to stay out of US domestic politics.
2019-11-21	Adam Schiff	D-Schiff	Democrat	Another concern that arose for Dr. Hill around this time was her discovery of a potential NSC back channel on Ukraine. Hill learned that an NSC staff member who did not work on Ukraine and for her may have been providing Ukraine-related information to President Trump that Dr. Hill was not made aware of. According to Holmes, following the Zelensky inauguration, Sondland and Perry took a very active and unconventional role in formulating our priorities for the new Zelensky administration and personally reaching out to President Zelensky and his senior team. Sondland?s newfound assertiveness also concerned Dr. Hill, who previously had enjoyed a cordial working relationship with the ambassador.
2019-11-21	Adam Schiff	D-Schiff	Democrat	On June 18, 2019, Hill had a blow-up with Sondland when he told her that he was in charge of Ukraine policy. Dr. Hill testified that Sondland got testy with me. And I said, ?Who has put you in charge of it?? He said, ?The President.? On July 10th, Dr. Hill was part of a meeting at the White House with a group of US and Ukrainian officials, including Bolton, Sondland and Energy Secretary, Perry, another of the three amigos. The meeting was intended, among other things, to give the Ukrainians an opportunity to convey that they were very anxious to set up a meeting, a first meeting between their new president and President Trump. Sondland interjected to inform the group that according to White House Chief of Staff, Mick Mulvaney, the White House meeting sought by the Ukrainian president with Trump would happen if Ukraine undertook certain investigations. Hearing this, Bolton abruptly ended the meeting.
2019-11-21	Adam Schiff	D-Schiff	Democrat	Undeterred, Sondland brought the Ukrainian delegation and the NSC Director for Ukraine, Lieutenant Colonel Alexander Vindman downstairs to another part of the White House, where they were later joined by Dr. Hill. In this second meeting, Sondland was more explicit. Ukraine needed to conduct investigations if they were to get a meeting at all. Bolton directed Dr. Hill to report this to NSC legal advisor, John Eisenberg, telling her, ?You go and tell Eisenberg that I am not part of whatever drug deal Sondland and Mulvaney are cooking up on this, and you go ahead and tell him what you?ve heard and what I?ve said.? Dr. Hill did so, as did Lieutenant Colonel Vindman, who separately approached the same lawyers with his concerns.
