Year,Job Title,Category,Country,Region,Total,Latitude,Longitude
2015,IT Support,Operations,Germany,Europe,49,52.85328556510436,8.060485568244514
2015,Sales Executive,IT,Germany,Europe,47,51.61124280974839,8.741078091094094
2015,Operations Manager,Engineering,Germany,Europe,65,52.897053876292574,10.373690733183984
2015,Legal Consultant,Sales,Germany,Europe,100,48.151423979319965,14.793599466185892
2015,Medical Doctor,IT,Germany,Europe,82,50.50906298277035,8.317558987589132
2015,Civil Engineer,Marketing,Germany,Europe,49,48.90670316520402,6.198440515995174
2015,Product Manager,Sales,Germany,Europe,29,51.21353079814401,9.299310165899927
2015,UX Designer,Operations,Germany,Europe,25,51.814418165005684,8.746341378051614
2015,Cybersecurity Analyst,Marketing,Germany,Europe,15,54.28559538654962,6.169107659840323
2015,AI Researcher,Operations,Germany,Europe,35,50.33525632481227,11.80711967895455
2015,Software Engineer,Marketing,UK,Europe,48,53.339806891576586,-8.589940789646183
2015,Data Scientist,Legal,UK,Europe,13,58.143281860259876,-1.2475790929593913
2015,Marketing Manager,IT,UK,Europe,39,58.82111698933288,-3.9789680138229473
2015,Financial Analyst,Operations,UK,Europe,8,57.284582001072536,1.7686047858197451
2015,HR Specialist,IT,UK,Europe,60,50.96808256745828,-5.5315298397084565
2015,IT Support,Marketing,UK,Europe,16,55.11007187936129,1.108393070941462
2015,Sales Executive,Marketing,UK,Europe,47,59.83386539776181,-7.717970351293295
2015,Operations Manager,Finance,UK,Europe,41,52.11346414417442,-5.222490549233769
2015,Legal Consultant,Engineering,UK,Europe,58,52.213366580112584,-1.6798053054590119
2015,Medical Doctor,Engineering,UK,Europe,17,57.426757734979454,-0.8846050267565717
2015,Civil Engineer,HR,UK,Europe,25,60.541492398916006,-7.455455222034468
2015,Product Manager,HR,UK,Europe,78,55.31265227794966,-2.2077604037822125
2015,UX Designer,IT,UK,Europe,42,52.39408134042313,-7.601656471478204
2015,Cybersecurity Analyst,Sales,UK,Europe,88,56.98031743943918,0.22857527818038115
2015,AI Researcher,Finance,UK,Europe,12,53.829804040298306,-6.864713963819982
2015,Software Engineer,Legal,France,Europe,57,49.060682134903715,-4.624652771753119
2015,Data Scientist,Sales,France,Europe,96,50.774569498422274,-4.981484597236182
2015,Marketing Manager,Legal,France,Europe,10,47.04558597944826,1.3848642707376184
2015,Financial Analyst,HR,France,Europe,56,42.26433695886485,-3.688997662530097
2015,HR Specialist,Engineering,France,Europe,64,47.258954862600255,-4.62921238360048
2015,IT Support,Operations,France,Europe,68,48.89379363422498,8.775714288524995
2015,Sales Executive,HR,France,Europe,49,42.906874152706166,4.493412637053863
2015,Operations Manager,Operations,France,Europe,86,50.11102217452613,7.2305934369387685
2015,Legal Consultant,Legal,France,Europe,18,50.535931500250534,-1.0404110095193477
2015,Medical Doctor,Sales,France,Europe,7,44.49140086742059,5.332291106777998
2015,Civil Engineer,Legal,France,Europe,52,49.499643995349196,-0.5958118622342665
2015,Product Manager,Engineering,France,Europe,6,47.6083046166186,7.296090730906878
2015,UX Designer,HR,France,Europe,32,42.31181019341427,0.08847765385707351
2015,Cybersecurity Analyst,Operations,France,Europe,99,42.74377476267921,1.5036027821626456
2015,AI Researcher,Marketing,France,Europe,90,45.262628418912406,7.182080355706157
2015,Software Engineer,Sales,Australia,Australia,94,-32.47248320385647,150.81484311134795
2015,Data Scientist,Sales,Australia,Australia,27,-27.65129950101975,152.25285812826814
2015,Marketing Manager,Engineering,Australia,Australia,66,-20.37791416163027,146.5188099261827
2015,Financial Analyst,Legal,Australia,Australia,48,-36.60804587706327,125.51297591916806
2015,HR Specialist,Finance,Australia,Australia,98,-18.560159093732327,123.6084574075589
2015,IT Support,Engineering,Australia,Australia,21,-33.14920562589606,115.9129769421995
2015,Sales Executive,IT,Australia,Australia,97,-31.097561602274133,138.0817922733166
2015,Operations Manager,Finance,Australia,Australia,3,-22.4866057131,148.86803590256446
2015,Legal Consultant,Marketing,Australia,Australia,87,-22.595897055309607,140.7907091252956
2015,Medical Doctor,Engineering,Australia,Australia,58,-20.816510476920772,148.60164981737404
2015,Civil Engineer,Finance,Australia,Australia,35,-34.38072519293829,146.98357392231532
2015,Product Manager,HR,Australia,Australia,8,-22.327084111886897,119.65952625836447
2015,UX Designer,Engineering,Australia,Australia,19,-30.607676475034307,143.55958171672373
2015,Cybersecurity Analyst,Legal,Australia,Australia,63,-32.38705367831553,149.05440559592768
2015,AI Researcher,Engineering,Australia,Australia,90,-38.79978570813902,142.51039078376726
2015,Software Engineer,Finance,India,Asia,21,27.13659290428547,92.38146432818795
2015,Data Scientist,HR,India,Asia,96,13.666642136628221,78.7128251944196
2015,Marketing Manager,HR,India,Asia,11,30.993910624255744,75.45407907670736
2015,Financial Analyst,Legal,India,Asia,98,9.84832992733994,76.88967276890133
2015,HR Specialist,Sales,India,Asia,4,11.747086458504185,69.83413704973498
2015,IT Support,HR,India,Asia,3,24.293406480021904,89.45172340040754
2015,Sales Executive,IT,India,Asia,60,18.54544111653493,74.25018766210975
2015,Operations Manager,Legal,India,Asia,36,18.394528709588176,84.18489395417862
2015,Legal Consultant,Finance,India,Asia,88,26.788064448866564,81.3063109710604
2015,Medical Doctor,Marketing,India,Asia,48,15.877483457430763,94.62072483974686
2015,Civil Engineer,IT,India,Asia,64,28.54974196793387,89.61308988798031
2015,Product Manager,Finance,India,Asia,98,7.697023782519219,81.24581523492216
2015,UX Designer,HR,India,Asia,63,25.925272585941574,81.67683121020121
2015,Cybersecurity Analyst,Engineering,India,Asia,52,24.68524314007626,69.93505507380915
2015,AI Researcher,Legal,India,Asia,46,11.541403750814188,88.7517724153358
2015,Software Engineer,Finance,Brazil,South America,0,-24.667728897414342,-53.73161540137595
2015,Data Scientist,Finance,Brazil,South America,13,-13.045099946523603,-44.451288048675195
2015,Marketing Manager,Finance,Brazil,South America,39,-28.04696314177906,-66.33091576115987
2015,Financial Analyst,Marketing,Brazil,South America,74,-22.574875732954766,-68.41311080305468
2015,HR Specialist,IT,Brazil,South America,70,-23.228300708591348,-48.26750908353114
2015,IT Support,HR,Brazil,South America,70,-23.512587627323313,-71.11724281665937
2015,Sales Executive,HR,Brazil,South America,93,-26.662342575321496,-58.3046325519487
2015,Operations Manager,Finance,Brazil,South America,32,-3.0369038432694353,-38.382910374009874
2015,Legal Consultant,Engineering,Brazil,South America,85,2.8126749570958225,-66.93551648547083
2015,Medical Doctor,Finance,Brazil,South America,1,-14.978219152954221,-71.69575657240999
2015,Civil Engineer,Engineering,Brazil,South America,83,-3.2730260748419298,-39.782877107473595
2015,Product Manager,Sales,Brazil,South America,42,-24.251021099578907,-48.26074908999097
2015,UX Designer,Engineering,Brazil,South America,4,-32.18066957898303,-53.971646204270016
2015,Cybersecurity Analyst,HR,Brazil,South America,34,-12.68490290767177,-71.90220825409459
2015,AI Researcher,Marketing,Brazil,South America,12,-23.96125350394592,-58.400084100682925
2015,Software Engineer,IT,China,Asia,38,20.089269152901526,130.0292566358569
2015,Data Scientist,Marketing,China,Asia,18,20.81391511258758,77.9179500326659
2015,Marketing Manager,Engineering,China,Asia,5,30.428749493825613,74.95519977987917
2015,Financial Analyst,Legal,China,Asia,74,29.022834220504816,129.3495134216248
2015,HR Specialist,Legal,China,Asia,31,41.1102119285233,92.44260547508388
2015,IT Support,HR,China,Asia,34,38.97516065403818,114.22200805540086
2015,Sales Executive,HR,China,Asia,72,39.40407016878103,126.85425128673916
2015,Operations Manager,Sales,China,Asia,22,30.544502225716002,81.95009743664222
2015,Legal Consultant,Legal,China,Asia,98,27.664822855920583,88.12913563144774
2015,Medical Doctor,Engineering,China,Asia,57,42.38391170567775,120.73568222914776
2015,Civil Engineer,Marketing,China,Asia,83,33.80463047736792,122.6939560838982
2015,Product Manager,IT,China,Asia,52,49.7282493761339,96.08860748810918
2015,UX Designer,Finance,China,Asia,4,19.66456961062461,118.48496602052913
2015,Cybersecurity Analyst,Legal,China,Asia,71,31.066792743623132,113.43329705553494
2015,AI Researcher,HR,China,Asia,19,25.95027469620362,90.28629638288214
2015,Software Engineer,Marketing,Japan,Asia,45,34.24399442497281,134.74163264093218
2015,Data Scientist,HR,Japan,Asia,19,35.920386260968044,135.50324822105938
2015,Marketing Manager,Marketing,Japan,Asia,58,34.28079354914509,138.90206135158127
2015,Financial Analyst,Legal,Japan,Asia,44,45.33358849596468,144.96357443196683
2015,HR Specialist,Finance,Japan,Asia,54,37.89481952601211,137.99806351482886
2015,IT Support,Sales,Japan,Asia,65,39.848697273343845,142.00816604812826
2015,Sales Executive,Legal,Japan,Asia,83,35.887262154764585,137.43301529225195
2015,Operations Manager,Finance,Japan,Asia,81,38.38262159419796,136.95767708675524
2015,Legal Consultant,Finance,Japan,Asia,97,34.37214472795815,139.65404227076854
2015,Medical Doctor,Operations,Japan,Asia,80,42.367919802048874,145.28600929969812
2015,Civil Engineer,Sales,Japan,Asia,70,43.27789131641815,136.859152844547
2015,Product Manager,Sales,Japan,Asia,45,32.84117349087537,141.63590223562244
2015,UX Designer,Operations,Japan,Asia,97,44.04835873814244,133.37726676260115
2015,Cybersecurity Analyst,Legal,Japan,Asia,35,42.2938506716332,130.5990868314904
2015,AI Researcher,Operations,Japan,Asia,22,39.0237900543161,142.46667003520855
2015,Software Engineer,IT,Mexico,North America,35,29.887881295491788,-106.09368791876496
2015,Data Scientist,Legal,Mexico,North America,45,27.729489590046896,-116.94489423829035
2015,Marketing Manager,Operations,Mexico,North America,16,23.009533634200324,-111.71302905422301
2015,Financial Analyst,Finance,Mexico,North America,8,25.32828127498827,-90.75243218738619
2015,HR Specialist,Legal,Mexico,North America,7,23.69192586094887,-102.90641522553784
2015,IT Support,Operations,Mexico,North America,25,29.857472594853057,-86.88857157215968
2015,Sales Executive,IT,Mexico,North America,97,21.399366577584118,-115.76999803846304
2015,Operations Manager,Engineering,Mexico,North America,92,32.262600674291264,-95.05333259504715
2015,Legal Consultant,Sales,Mexico,North America,55,15.731010535954384,-112.68061170099458
2015,Medical Doctor,Marketing,Mexico,North America,46,26.09669715078097,-105.35951297009176
2015,Civil Engineer,Legal,Mexico,North America,4,27.855850997728353,-112.9324596532083
2015,Product Manager,HR,Mexico,North America,91,18.416485656239647,-102.46364249860113
2015,UX Designer,Sales,Mexico,North America,63,16.05456728162377,-89.67656159001069
2015,Cybersecurity Analyst,Legal,Mexico,North America,14,17.058014998214063,-112.4878411334113
2015,AI Researcher,Sales,Mexico,North America,78,25.70735725005759,-103.71543585644446
2015,Software Engineer,Marketing,South Africa,Africa,96,-30.52501557486949,19.87416560717539
2015,Data Scientist,Marketing,South Africa,Africa,72,-30.161979960460066,28.00899935539174
2015,Marketing Manager,Finance,South Africa,Africa,78,-40.722542196071046,32.746757439583874
2015,Financial Analyst,Engineering,South Africa,Africa,70,-41.06666299508556,24.138578115713344
2015,HR Specialist,Operations,South Africa,Africa,48,-41.63577805215944,25.211045477028513
2015,IT Support,Operations,South Africa,Africa,0,-26.699663772706188,32.818072223512644
2015,Sales Executive,Finance,South Africa,Africa,31,-36.34392308967887,22.962801439605574
2015,Operations Manager,HR,South Africa,Africa,44,-22.37006268318933,21.37310625859817
2015,Legal Consultant,HR,South Africa,Africa,5,-38.17004713981166,20.597156112383153
2015,Medical Doctor,Legal,South Africa,Africa,50,-39.984646440376544,33.54408066863339
2015,Civil Engineer,Marketing,South Africa,Africa,14,-41.351771656860954,27.735734468979203
2015,Product Manager,Legal,South Africa,Africa,81,-29.189862216257666,25.46752810579182
2015,UX Designer,Marketing,South Africa,Africa,39,-23.66717148097158,25.3879229927552
2015,Cybersecurity Analyst,Engineering,South Africa,Africa,91,-38.172839148777726,27.31456210597174
2015,AI Researcher,Sales,South Africa,Africa,32,-27.207382836968698,30.77841098742521
2015,Software Engineer,IT,Italy,Europe,71,37.95967778421588,16.5496495761658
2015,Data Scientist,IT,Italy,Europe,67,39.907823715796674,7.110298410972912
2015,Marketing Manager,Operations,Italy,Europe,59,44.9519204139361,7.949773104713492
2015,Financial Analyst,Marketing,Italy,Europe,13,35.932749528649765,18.39353784771019
2015,HR Specialist,Operations,Italy,Europe,98,38.693254120235935,8.105392679941424
2015,IT Support,IT,Italy,Europe,92,36.8942274299692,9.510107270808149
2015,Sales Executive,Sales,Italy,Europe,21,38.60567962600965,8.716875730710216
2015,Operations Manager,Legal,Italy,Europe,8,36.88289207702272,9.746273675731592
2015,Legal Consultant,Legal,Italy,Europe,72,40.749132083721335,18.132837102435204
2015,Medical Doctor,IT,Italy,Europe,19,42.1431723940347,16.486787161422093
2015,Civil Engineer,HR,Italy,Europe,99,44.51894750732394,14.935075806786854
2015,Product Manager,HR,Italy,Europe,76,36.901149509189906,16.995284405102645
2015,UX Designer,Finance,Italy,Europe,82,36.82334031892439,16.108014164984567
2015,Cybersecurity Analyst,HR,Italy,Europe,97,45.71661399366617,16.588151636514908
2015,AI Researcher,Engineering,Italy,Europe,85,38.587622884918375,7.769996549364725
2015,Software Engineer,Finance,Netherlands,Europe,65,52.60188832895529,3.6112330840061957
2015,Data Scientist,Sales,Netherlands,Europe,85,52.781792370368876,6.336752732136893
2015,Marketing Manager,Marketing,Netherlands,Europe,31,50.98502343041717,3.5319549605697502
2015,Financial Analyst,HR,Netherlands,Europe,47,51.49752141203858,5.828085660420517
2015,HR Specialist,IT,Netherlands,Europe,71,51.902012803056095,4.603120710734615
2015,IT Support,Sales,Netherlands,Europe,66,51.54311767867494,6.283989760152612
2015,Sales Executive,Engineering,Netherlands,Europe,33,51.11588628777074,3.8232592531587173
2015,Operations Manager,Engineering,Netherlands,Europe,45,51.97174645121673,6.481218111166472
2015,Legal Consultant,Marketing,Netherlands,Europe,30,52.951054905377845,3.5214855331086996
2015,Medical Doctor,Sales,Netherlands,Europe,93,53.06108022657501,6.162843996978742
2015,Civil Engineer,Engineering,Netherlands,Europe,93,52.94451693796054,6.779434025914135
2015,Product Manager,HR,Netherlands,Europe,19,51.84116862450184,3.912529046016177
2015,UX Designer,Operations,Netherlands,Europe,77,52.54581816929838,4.688095019041135
2015,Cybersecurity Analyst,Marketing,Netherlands,Europe,3,52.337494800870076,7.031078997587971
2015,AI Researcher,HR,Netherlands,Europe,62,52.949881132788185,4.306297873323732
2015,Software Engineer,IT,Spain,Europe,0,41.440962455054965,-6.433292906657011
2015,Data Scientist,Finance,Spain,Europe,97,43.54244081839613,2.076109071457351
2015,Marketing Manager,Engineering,Spain,Europe,57,37.00196391146273,-4.987906563266085
2015,Financial Analyst,Engineering,Spain,Europe,72,43.75359873163668,-5.364650685457857
2015,HR Specialist,Operations,Spain,Europe,12,43.62055962196729,-3.465059710196236
2015,IT Support,Sales,Spain,Europe,21,43.418146655707346,-7.281593701011099
2015,Sales Executive,Marketing,Spain,Europe,57,40.7098566990696,0.11004882347304523
2015,Operations Manager,Marketing,Spain,Europe,80,39.4162460154087,-3.6125915717150603
2015,Legal Consultant,IT,Spain,Europe,68,42.9442207182525,3.299772665454359
2015,Medical Doctor,Engineering,Spain,Europe,57,36.29955663744801,-4.793433901862707
2015,Civil Engineer,Engineering,Spain,Europe,97,39.97623994813979,-9.088743753285668
2015,Product Manager,Legal,Spain,Europe,49,41.50617139545397,-2.399654318351738
2015,UX Designer,Marketing,Spain,Europe,40,42.86312733236521,-2.297173743666667
2015,Cybersecurity Analyst,Operations,Spain,Europe,67,41.320230077925416,-1.1452084343589526
2015,AI Researcher,IT,Spain,Europe,0,43.41386199011531,-2.6788180909410233
2016,Software Engineer,Sales,USA,North America,0,43.13440514349584,-100.85543884754388
2016,Data Scientist,Operations,USA,North America,63,34.38991521897075,-123.62395970174973
2016,Marketing Manager,Operations,USA,North America,55,29.07511747289255,-72.86974675312393
2016,Financial Analyst,HR,USA,North America,23,30.822536086541383,-94.82244970156668
2016,HR Specialist,IT,USA,North America,25,47.157810712784816,-67.22199958986803
2016,IT Support,Sales,USA,North America,18,30.430558710979167,-81.02640961503042
2016,Sales Executive,Legal,USA,North America,10,27.04186499597099,-99.95468535867207
2016,Operations Manager,HR,USA,North America,39,44.66420369660298,-76.45187738275106
2016,Legal Consultant,Marketing,USA,North America,42,24.449820403273318,-114.05386280762411
2016,Medical Doctor,Engineering,USA,North America,69,49.27167201446014,-103.46805979697356
2016,Civil Engineer,Legal,USA,North America,8,24.78956487788629,-113.62892404445779
2016,Product Manager,Marketing,USA,North America,85,33.575939311247446,-103.3667242415583
2016,UX Designer,Legal,USA,North America,0,32.274023084575624,-77.39346273099056
2016,Cybersecurity Analyst,IT,USA,North America,95,30.53218327739451,-113.00996658551107
2016,AI Researcher,IT,USA,North America,96,29.549129088836054,-117.94191074478381
2016,Software Engineer,HR,Canada,North America,86,61.24938036526415,-113.68294672759875
2016,Data Scientist,Engineering,Canada,North America,70,59.379097490401634,-77.195360280876
2016,Marketing Manager,Operations,Canada,North America,52,80.92271070818344,-63.724829513830656
2016,Financial Analyst,Engineering,Canada,North America,4,67.91679735648334,-68.66262007326269
2016,HR Specialist,HR,Canada,North America,30,79.78665607662523,-128.09431984505517
2016,IT Support,Legal,Canada,North America,57,44.30343289610519,-76.56792448334892
2016,Sales Executive,Operations,Canada,North America,0,41.75676303557767,-91.50898466896761
2016,Operations Manager,Marketing,Canada,North America,94,61.24299912695371,-83.66257656414578
2016,Legal Consultant,Legal,Canada,North America,51,64.08658927073189,-65.33695262806512
2016,Medical Doctor,Marketing,Canada,North America,54,43.296633104400165,-134.36963067262485
2016,Civil Engineer,Marketing,Canada,North America,15,81.29873105678391,-66.54936089255095
2016,Product Manager,Engineering,Canada,North America,22,73.5167017298491,-75.76014923132617
2016,UX Designer,Operations,Canada,North America,9,79.16119256352933,-121.9394188618129
2016,Cybersecurity Analyst,HR,Canada,North America,5,82.03738083382515,-77.08655972946485
2016,AI Researcher,IT,Canada,North America,84,59.63917488344607,-97.05055624079455
2016,Software Engineer,Finance,Germany,Europe,91,49.188509989151925,14.922747937718396
2016,Data Scientist,Marketing,Germany,Europe,17,50.838101403713615,7.942167656413473
2016,Marketing Manager,IT,Germany,Europe,21,48.92353028179643,10.191394648303028
2016,Financial Analyst,HR,Germany,Europe,49,54.22439334328128,10.462846803437142
2016,HR Specialist,Engineering,Germany,Europe,93,52.66965148721422,12.619627942161937
2016,IT Support,IT,Germany,Europe,44,48.0769314674492,7.014008535659296
2016,Sales Executive,Engineering,Germany,Europe,32,48.99839946456978,11.493211603738331
2016,Operations Manager,IT,Germany,Europe,42,48.00416265843719,14.779899243343596
2016,Legal Consultant,HR,Germany,Europe,34,48.92373510077707,9.011040868541974
2016,Medical Doctor,Legal,Germany,Europe,58,52.80377277590127,13.264701909380708
2016,Civil Engineer,HR,Germany,Europe,16,50.576878583409,11.690904502962653
2016,Product Manager,HR,Germany,Europe,28,52.62505519610601,11.307198139261551
2016,UX Designer,Engineering,Germany,Europe,100,53.35006848609066,10.454268700316955
2016,Cybersecurity Analyst,Legal,Germany,Europe,52,49.30972249326578,9.931671475061492
2016,AI Researcher,HR,Germany,Europe,58,52.133164039329884,14.28079383478781
2016,Software Engineer,Legal,UK,Europe,7,59.43851057793198,-8.175264171000292
2016,Data Scientist,Engineering,UK,Europe,59,55.05526713241424,-6.691104833338411
2016,Marketing Manager,Finance,UK,Europe,20,50.08487794577919,-6.809222530910608
2016,Financial Analyst,Marketing,UK,Europe,5,60.20671444111215,-4.165036227517252
2016,HR Specialist,Operations,UK,Europe,89,54.99340763869719,-2.7222851306254947
2016,IT Support,Finance,UK,Europe,40,57.391414411571134,-2.1133899720756295
2016,Sales Executive,Sales,UK,Europe,94,55.52775203398504,-5.548103335020421
2016,Operations Manager,Finance,UK,Europe,78,60.19693588110725,-7.62572760963717
2016,Legal Consultant,Finance,UK,Europe,17,54.14246109777797,-5.469172181230382
2016,Medical Doctor,Sales,UK,Europe,76,57.64637853984688,-4.581357345859398
2016,Civil Engineer,IT,UK,Europe,45,55.35477699783661,-7.1036689211736785
2016,Product Manager,Operations,UK,Europe,67,51.2836863639392,-7.808128493799002
2016,UX Designer,Engineering,UK,Europe,19,60.297332888840565,-3.3005814817581323
2016,Cybersecurity Analyst,Finance,UK,Europe,50,60.24618715557996,-4.83515313501948
2016,AI Researcher,Finance,UK,Europe,25,56.74138231540812,-1.3869333830592678
2016,Software Engineer,Engineering,France,Europe,51,50.55735604422101,8.776653726306579
2016,Data Scientist,Marketing,France,Europe,88,46.448569431100175,5.1443727209177705
2016,Marketing Manager,HR,France,Europe,22,43.69441531472197,5.263683922454492
2016,Financial Analyst,Operations,France,Europe,28,45.42474972413662,9.537623083553536
2016,HR Specialist,Sales,France,Europe,37,48.08130829349388,2.5392421034694603
2016,IT Support,Legal,France,Europe,5,46.19097622244299,7.7223959912201625
2016,Sales Executive,Marketing,France,Europe,25,47.30881755966001,-4.128136311456368
2016,Operations Manager,HR,France,Europe,90,51.062823505898244,2.9965616724501807
2016,Legal Consultant,Sales,France,Europe,93,41.843589545611934,1.5044508860585202
2016,Medical Doctor,Marketing,France,Europe,90,42.00847528066086,4.803702338679312
2016,Civil Engineer,Operations,France,Europe,16,42.75739427700354,8.564558763072531
2016,Product Manager,Finance,France,Europe,32,48.63751048646436,0.13172448154305538
2016,UX Designer,Sales,France,Europe,30,49.6562246556503,4.092051939462378
2016,Cybersecurity Analyst,Finance,France,Europe,62,49.66385395906495,9.019939857548895
2016,AI Researcher,IT,France,Europe,65,44.04749622589912,3.9939656397889163
2016,Software Engineer,Sales,Australia,Australia,55,-30.338504951845973,119.38760814815234
2016,Data Scientist,Sales,Australia,Australia,13,-26.945724010649172,123.4027028488053
2016,Marketing Manager,HR,Australia,Australia,82,-22.47230322712468,144.582212608478
2016,Financial Analyst,Marketing,Australia,Australia,40,-13.478996832567056,136.75313467062387
2016,HR Specialist,HR,Australia,Australia,19,-16.67339755683281,118.2102711178791
2016,IT Support,IT,Australia,Australia,67,-39.449518414325446,139.882383048415
2016,Sales Executive,Legal,Australia,Australia,93,-19.819429026329896,137.60917038900104
2016,Operations Manager,Legal,Australia,Australia,60,-19.047234721357654,118.55356125855285
2016,Legal Consultant,Finance,Australia,Australia,24,-39.813812200020394,153.12354120177383
2016,Medical Doctor,Legal,Australia,Australia,15,-24.621805098475395,127.61886726213616
2016,Civil Engineer,Operations,Australia,Australia,44,-27.265686058116664,121.9886848423909
2016,Product Manager,Finance,Australia,Australia,54,-36.201284395288866,122.0515834754977
2016,UX Designer,HR,Australia,Australia,25,-32.991278083176965,131.37139306201024
2016,Cybersecurity Analyst,HR,Australia,Australia,99,-36.478486078586975,122.12883932708867
2016,AI Researcher,Engineering,Australia,Australia,66,-34.515102513982285,124.61060583529334
2016,Software Engineer,Marketing,India,Asia,75,26.348137584677517,82.05110090803211
2016,Data Scientist,IT,India,Asia,34,20.12491669039155,93.64175928499427
2016,Marketing Manager,Operations,India,Asia,30,24.074918365925583,90.66608293061212
2016,Financial Analyst,Sales,India,Asia,54,28.855711838309116,77.96483550598518
2016,HR Specialist,HR,India,Asia,77,28.133784284347612,72.95017101528487
2016,IT Support,IT,India,Asia,41,8.660348377496144,69.84014648841658
2016,Sales Executive,Legal,India,Asia,55,34.46380946099206,86.7043980250117
2016,Operations Manager,Engineering,India,Asia,33,13.890282041917345,69.06579912343892
2016,Legal Consultant,Marketing,India,Asia,28,7.865286273311709,70.58668033575663
2016,Medical Doctor,HR,India,Asia,37,15.146763848012593,87.46083929043054
2016,Civil Engineer,Legal,India,Asia,21,28.516399417132344,87.80060078584405
2016,Product Manager,HR,India,Asia,60,8.903603609234047,83.51689074160012
2016,UX Designer,Finance,India,Asia,92,22.870427461096384,72.83168652848069
2016,Cybersecurity Analyst,Finance,India,Asia,68,22.520086308833122,79.95339587085954
2016,AI Researcher,Sales,India,Asia,62,8.989553609091441,75.64197097245983
2016,Software Engineer,HR,Brazil,South America,80,2.284248839081229,-62.2584236248658
2016,Data Scientist,Operations,Brazil,South America,39,-20.61880912022771,-35.62320685584559
2016,Marketing Manager,Finance,Brazil,South America,98,-24.451170404435516,-59.74485117940969
2016,Financial Analyst,Engineering,Brazil,South America,41,-23.52632530540341,-62.74971018155785
2016,HR Specialist,Finance,Brazil,South America,82,-9.293317952186918,-68.3726355523547
2016,IT Support,Operations,Brazil,South America,77,-4.424884680933726,-65.27764005834992
2016,Sales Executive,IT,Brazil,South America,38,-3.2707644006154766,-59.39185237232893
2016,Operations Manager,Engineering,Brazil,South America,83,-28.928588355379713,-67.22195737401752
2016,Legal Consultant,IT,Brazil,South America,73,-28.177283865969788,-39.341167704222926
2016,Medical Doctor,Engineering,Brazil,South America,20,-14.613984478991899,-43.81713260715499
2016,Civil Engineer,Engineering,Brazil,South America,79,-5.543622375812202,-39.37526572739656
2016,Product Manager,IT,Brazil,South America,93,-18.532033360363723,-66.00147748002111
2016,UX Designer,IT,Brazil,South America,87,-5.34406875815305,-35.02629776131358
2016,Cybersecurity Analyst,Operations,Brazil,South America,89,-29.753411091391932,-58.98082264107006
